source,family,label,x,log_n,bridge_valid,beta_error_e,eta_label,eta_value,profile_deficit_a,bridge_b,total_reserve,log_gate_margin,beta_plus,envelope_plus,bridge_target,beta_surplus,envelope_gap,additive_margin,identity_residual,multiplicative_margin
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=283,283,290.7189494890932,True,0.01684429341014204,actual_E_plus,0.01684429341014204,0.025113410384557933,0.004755364997202665,0.0298687753817606,0.013024481971618557,10.225752770103721,9.972147025471433,10.10287858195131,0.12287418815241047,0.2536057446322886,0.1307315564798781,9.159339953157541e-16,0.013109669978386362
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=283,283,290.7189494890932,True,0.01684429341014204,rosser_half,0.015566420603657287,0.025113410384557933,0.004755364997202665,0.0298687753817606,0.014302354778103312,10.212693904274783,9.959412028551421,10.10287858195131,0.10981532232347213,0.2532818757233617,0.14346655339988956,-8.881784197001252e-16,0.014405122811326887
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=283,283,290.7189494890932,True,0.01684429341014204,rosser_one,0.030894237222715726,0.025113410384557933,0.004755364997202665,0.0298687753817606,-0.0010254618409551268,10.37043805192886,10.113244012189156,10.10287858195131,0.26755946997754876,0.25719403973970323,-0.01036543023784553,2.39044894989604e-15,-0.0010249362346397284
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=1009,1009,1003.597627267529,False,0.0035700198269075223,actual_E_plus,0.0035700198269075223,0.00995521109917836,0.0,0.00995521109917836,0.006385191272270838,12.363228625909027,12.240760683622849,12.319170345850322,0.044058280058704824,0.1224679422861783,0.07840966222747348,-9.575673587391975e-16,0.006405620063496542
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=1009,1009,1003.597627267529,False,0.0035700198269075223,rosser_half,0.010397060958558677,0.00995521109917836,0.0,0.00995521109917836,-0.0004418498593803163,12.447921668750652,12.324614772256265,12.319170345850322,0.12875132290032987,0.12330689649438753,-0.0054444264059423375,-2.1441182163073336e-15,-0.0004417522581069422
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=1009,1009,1003.597627267529,False,0.0035700198269075223,rosser_one,0.020687134441995634,0.00995521109917836,0.0,0.00995521109917836,-0.010731923342817274,12.576672991650979,12.452090707467878,12.319170345850322,0.2575026458006562,0.12458228418310036,-0.13292036161755583,-5.551115123125783e-17,-0.010674541708713958
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=10007,10007,10022.607733390201,True,0.0012549829789647582,actual_E_plus,0.0012549829789647582,0.00241136957712376,0.00016918118610565386,0.0025805507632294137,0.0013255677842646555,16.426131096274673,16.38656934165501,16.40830525309818,0.017825843176492384,0.039561754619661826,0.021735911443169442,2.321060010856968e-15,0.0013264467375679878
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=10007,10007,10022.607733390201,True,0.0012549829789647582,rosser_half,0.005875922926122801,0.00241136957712376,0.00016918118610565386,0.0025805507632294137,-0.0032953721628933876,16.502210906373357,16.462465916227263,16.40830525309818,0.09390565327517564,0.039744990146093784,-0.054160663129081854,1.061650767297806e-15,-0.0032899483834736287
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=10007,10007,10022.607733390201,True,0.0012549829789647582,rosser_one,0.011717520974167249,0.00241136957712376,0.00016918118610565386,0.0025805507632294137,-0.009136970210937834,16.598892301384975,16.55891445752529,16.40830525309818,0.19058704828679396,0.039977843859684725,-0.15060920442710923,-1.2490009027033011e-15,-0.009095354940894973
mvdc_beta_requirement_profiles.csv,floor_log_lcm,pk=100003,100003,100063.0769811225,True,0.0003116014172652726,actual_E_plus,0.0003116014172652726,0.0005577817493509005,5.216347336661112e-05,0.0006099452227175116,0.00029834380545223904,20.51179793701672,20.50036002070811,20.50647708857911,0.005320848437609271,0.011437916308608465,0.006117067870999193,-3.7296554733501353e-16,0.00029838831439166213
